"","X2.5.","X25.","X50.","X75.","X97.5.","spp","data","model","param"
"1",1.2205873146906,1.23278813058887,1.23885584596094,1.24516494867157,1.25731105075333,"CHFU","means","eraXdensityXtide","b0"
"2",-0.0758179923434443,-0.0605741779915167,-0.0527601164219697,-0.0454469376312844,-0.0296546040700079,"CHFU","means","eraXdensityXtide","b1"
"3",-0.0244476179975595,-0.0113681347899738,-0.0047650124119513,0.0019095784876884,0.0155429455448347,"CHFU","means","eraXdensityXtide","b2"
"4",-0.066196253825733,-0.0520707238290049,-0.0450440221129905,-0.0379478971274558,-0.0223709768548098,"CHFU","means","eraXdensityXtide","b3"
"5",-0.0665319384443283,-0.0500757039214524,-0.0421065754814912,-0.034151786231683,-0.0182525312400035,"CHFU","means","eraXdensityXtide","b4"
"6",0.00809689656384737,0.0257375878723595,0.0342913027052319,0.0434167258629215,0.0604212364300827,"CHFU","means","eraXdensityXtide","b5"
"7",-0.0432673568031726,-0.0270897646547157,-0.0190610200883016,-0.0108749949766805,0.00415079173999955,"CHFU","means","eraXdensityXtide","b6"
"8",-0.0155663352732404,0.00254021683927062,0.0122903845842146,0.0221694695946385,0.041454698558094,"CHFU","means","eraXdensityXtide","b7"
"9",0.045492748847851,0.0500271877375853,0.0526597019176411,0.0555011099098017,0.0621817443962265,"CHFU","means","eraXdensityXtide","sigma"
"10",-0.160062191677813,-0.130524973692604,-0.11432296105347,-0.0980604980794312,-0.0686907403792756,"CHFU","means","eraXdensityXtide","prop_change"
