"","spp","past","present"
"1","Lacuna marmorata",0,403
"2","Homalopoma luridum",0,164
"3","Tectura paleacea",0,40
"4","Lottia asmi",0,475
"5","Littorina scutulata/plena",1,33
"6","Epitonium tinctum",0,10
"7","Erato vitellina",0,11
"8","Fissurellidea bimaculata",0,1
"9","Amphissa versicolor",206,149
"10","Littorina keenae",0,4
"11","Lottia paradigitalis",0,250
"12","Stylidium eschrichtii",0,218
"13","Acanthinucella punctulata",0,50
"14","Antisabia panamensis",0,1
"15","Calliostoma ligatum",11,245
"16","Crepidula adunca",256,4864
"17","Nassarius mendicus",0,1
"18","Ocinebrina circumtexta",0,143
"19","Hesperaptyxis luteopictus",0,20
"20","Amphissa columbiana",0,2
"21","Lottia digitalis",0,9
"22","Lottia ochracea",0,8
"23","Promartynia pulligo",0,24
"24","Pseudomelatoma torosa",0,54
"25","Tegula brunnea",3,2950
"26","Tegula funebralis",1071,38853
"27","Acmaea mitra",14,19
"28","Fissurella volcano",17,163
"29","Lottia pelta",26,61
"30","Ocinebrina lurida",4,1
"31","Lottia limatula",124,260
"32","Tegula montereyi",0,1
"33","Lottia scutum",752,35
"34","Ceratostoma foliatum",0,8
"35","Haliotis cracherodii",0,1
