"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"1","Era x Species x Tidal height",14,40542.239,0,1,0.976,-20257.12,0.976
"2","All three 2-way interactions",12,40549.624,7.385,0.025,0.024,-20262.812,1
"5","Era x Tidal height",6,40571.415,29.176,0,0,-20279.708,1
"3","Era x Species",8,40636.811,94.572,0,0,-20310.406,1
"7","Era",4,40779.64,237.4,0,0,-20385.82,1
"4","Species x Tidal height",8,41607.891,1065.652,0,0,-20795.946,1
"6","Species",5,41621.048,1078.808,0,0,-20805.524,1
"9","Null model",3,41627.087,1084.847,0,0,-20810.543,1
"8","Tidal height",4,41629.056,1086.817,0,0,-20810.528,1
