"","code","nest1","nest1note","nest2","nest2note","position","tidalHT","tidalHT_old","aspect","slope","gps","lon","lat","ele","tidalHT_round2","tidalHT_round3","tidalHT_mod3","tidalHT_mod1"
"1","LIKE","A","zone","Crack","crackOrFace","A_Crack",2.85,2.4,280,0,39,-121.905141,36.621852,1.271805,2.7,2.85,2.85,2.85
"2","LIKE","A","zone","Face","crackOrFace","A_Face",3,2.4,280,110,38,-121.905138,36.621845,0.406883,2.85,3,3,3
"3","LIKE","B","zone","Crack","crackOrFace","B_Crack",3.75,4.3,260,10,40,-121.905125,36.621878,4.149118,3.6,3.75,3.75,3.75
"4","LIKE","B","zone","Face","crackOrFace","B_Face",4.35,4.3,200,135,41,-121.90512,36.621864,2.404747,4.2,4.35,4.35,4.35
"5","LIKE","C","zone","Crack","crackOrFace","C_Crack",6.05,5.8,40,10,43,-121.905115,36.621839,3.287104,5.9,6.05,6.05,6.05
"6","LIKE","C","zone","Face","crackOrFace","C_Face",6.15,5.8,300,130,42,-121.905109,36.621846,2.969282,6,6.15,6.15,6.15
"7","LIKE","D","zone","Crack","crackOrFace","D_Crack",7,7.3,290,90,44,-121.905113,36.621838,4.090403,6.85,7,7,7
"8","LIKE","D","zone","Face","crackOrFace","D_Face",7.7,7.3,250,130,45,-121.905087,36.621838,3.023851,7.55,7.7,7.7,7.7
"9","LODI","1","area","Upper","upperOrLower","1_Upper",3,2.1,340,100,25,-121.905276,36.621938,0.356453,3,3,3,3
"10","LODI","1","area","Lower","upperOrLower","1_Lower",2,1.4,0,95,27,-121.905277,36.621935,0.379959,2,2,2,2
"11","LODI","2","area","Upper","upperOrLower","2_Upper",2.7,2.3,340,100,28,-121.905139,36.621899,1.325787,2.7,2.7,2.7,2.7
"12","LODI","2","area","Lower","upperOrLower","2_Lower",1.4,1.2,340,95,29,-121.905136,36.621896,1.761269,1.4,1.4,1.4,1.4
"13","LODI","3","area","Upper","upperOrLower","3_Upper",2.1,2.3,30,90,32,-121.90481,36.622036,2.289349,2.1,2.1,2.64580874872838,2.4436263123988
"14","LODI","3","area","Lower","upperOrLower","3_Lower",1.1,1.2,30,100,30,-121.904816,36.622043,1.190971,1.1,1.1,1.45567650050865,1.50173837340902
"15","CHFU","WaraB","site","low","lowMidHi","WaraB_low",0.62,0.3,NA,0,24,-121.905233,36.621974,-1.626305,0.62,0.62,0.62,0.62
"16","CHFU","WaraB","site","mid","lowMidHi","WaraB_mid",1.15,0.9,NA,0,23,-121.905468,36.621988,-1.235088,1.15,1.15,1.15,1.15
"17","CHFU","WaraB","site","hi","lowMidHi","WaraB_hi",1.7,1.5,NA,0,22,-121.905337,36.621911,0.626251,1.7,1.7,1.7,1.7
"18","CHFU","WaraD","site","low","lowMidHi","WaraD_low",0,0.6,NA,0,34,-121.903418,36.621565,1.127754,0,0,0.146531027466939,0.465661640520259
"19","CHFU","WaraD","site","mid","lowMidHi","WaraD_mid",0.3,0.3,NA,0,36,-121.903638,36.621442,-0.521603,0.3,0.3,0.503570701932859,0.748228022217193
"20","CHFU","WaraD","site","hi","lowMidHi","WaraD_hi",1.3,0.9,NA,0,37,-121.903869,36.621243,-0.352806,1.3,1.3,1.6937029501526,1.69011596120697
"21","CHFU","WaraD","site","low2","lowMidHi","WaraD_low2",0.1,NA,NA,0,33,-121.903418,36.621628,1.037987,0.1,0.1,0.265544252288912,0.559850434419237
"22","CHFU","WaraD","site","mid2","lowMidHi","WaraD_mid2",0.7,NA,220,10,35,-121.903519,36.621494,1.819492,0.7,0.7,0.979623601220754,1.1249831978131
