"","species","sp","site","sampleArea","size_mean","size_med","size_sd","size_n","size_95","size_max","lat_mean","long_mean","tidalHeight","size_mean2","size_med2","size_max2","size_95_2","delta_mean","delta_mean_per","delta_max","delta_max_per","delta_med","delta_med_per","delta_95","delta_95_per"
"1","Chlorostoma funebralis","CHFU","Wara.B","Wara.B",19.195652173913,20,4.10906029319018,92,26,30,36.6219375163399,-121.90538120915,0.948764675521883,17.1063604240283,17,26.8,20.6,-2.08929174988478,-10.8841925815062,-3.2,-10.6666666666667,-3,-15,-5.4,-20.7692307692308
"2","Chlorostoma funebralis","CHFU","Wara.D","Wara.D",17.7848484848485,18,4.62057293100064,660,26,30,36.621411462141,-121.903701628124,0.717348652912057,14.1893260694108,13.7,23.4,19.6,-3.59552241543767,-20.2167728249179,-6.6,-22,-4.3,-23.8888888888889,-6.4,-24.6153846153846
"3","Lottia digitalis","LODI","areaA","areaA_zone1",12.8173913043478,13,1.85120407349896,23,14.8,14.8,36.62192,-121.90527,2.285999926848,10.5439024390244,10.2,15,13.59,-2.27348886532344,-17.7375318529305,0.199999999999999,1.35135135135135,-2.8,-21.5384615384615,-1.21,-8.17567567567567
"4","Lottia digitalis","LODI","areaA","areaA_zone2",12.6607142857143,12.8,1.25606580189945,56,14,17.2,36.62192,-121.90527,1.8287999414784,10.7864864864865,10.4,14.5,13.74,-1.8742277992278,-14.8034917851561,-2.7,-15.6976744186046,-2.4,-18.75,-0.260000000000002,-1.85714285714287
"5","Lottia digitalis","LODI","areaA","areaA_zone3",12.492,12.6,1.97861904704603,25,15.8,17.8,36.62192,-121.90527,1.3715999561088,10.9741935483871,10.8,14.5,14.25,-1.5178064516129,-12.1502277586688,-3.3,-18.5393258426966,-1.8,-14.2857142857143,-1.55,-9.81012658227847
"6","Lottia digitalis","LODI","areaB","areaB_zone1",14.2766666666667,14,1.65307793726329,60,16.92,19.2,36.62188,-121.90514,2.285999926848,11.7344086021505,11.7,17.1,14.94,-2.54225806451613,-17.8070842716516,-2.1,-10.9375,-2.3,-16.4285714285714,-1.98,-11.7021276595745
"7","Lottia digitalis","LODI","areaB","areaB_zone2",11.7203389830508,11.15,2.46592363452071,118,15.745,22,36.62188,-121.90514,1.8287999414784,11.8716981132075,11.9,16.3,15.08,0.151359130156699,1.29142280249389,-5.7,-25.9090909090909,0.750000000000002,6.72645739910316,-0.664999999999999,-4.2235630358844
"8","Lottia digitalis","LODI","areaB","areaB_zone3",11.4297619047619,11,2.30707553690578,84,15.085,18.4,36.62188,-121.90514,1.3715999561088,12.0090909090909,11.8,15.5,15.35,0.579329004329004,5.06860080862789,-2.9,-15.7608695652174,0.800000000000001,7.27272727272728,0.265000000000001,1.75671196552867
"9","Lottia digitalis","LODI","areaC","areaC_zone2",18.3951612903226,18.85,2.54116453356994,62,21.9,23.2,36.6221,-121.90482,1.6763999463552,10.4962686567164,10.15,15.3,13.8,-7.89889263360616,-42.940056403646,-7.9,-34.051724137931,-8.7,-46.1538461538462,-8.1,-36.986301369863
"10","Lottia digitalis","LODI","areaC","areaC_zone3",14.655,14.45,1.62968456913349,40,17.225,18.1,36.6221,-121.90482,1.2191999609856,11.4631578947368,10.6,17.3,16.85,-3.19184210526316,-21.77988471691,-0.800000000000001,-4.41988950276243,-3.85,-26.643598615917,-0.374999999999996,-2.17706821480404
"11","Littorina keenae","LIKE","HighRock","HighRock_zoneA",11.0052631578947,11.7,2.17358584532059,152,14.7,15.7,36.62183,-121.90516,2.4383999219712,8.40265306122449,7.4,17.5,13.58,-2.60261009667025,-23.6487765838043,1.8,11.4649681528662,-4.3,-36.7521367521367,-1.12,-7.61904761904763
"12","Littorina keenae","LIKE","HighRock","HighRock_zoneB",11.7451882845188,11.7,1.52821085939949,239,13.7,14.7,36.62183,-121.90516,4.2671998634496,10.4964179104478,10.16,19.21,15.469,-1.24877037407107,-10.6321869332402,4.51,30.6802721088435,-1.54,-13.1623931623932,1.769,12.9124087591241
"13","Littorina keenae","LIKE","HighRock","HighRock_zoneC",11.2185714285714,11.7,2.15115143466785,210,14.7,15.7,36.62183,-121.90516,5.79119981468161,11.9992617449664,11.4,21.42,18.608,0.780690316395015,6.95891024419343,5.72,36.4331210191083,-0.299999999999999,-2.56410256410255,3.908,26.5850340136054
"14","Littorina keenae","LIKE","HighRock","HighRock_zoneD",14.10625,14.7,1.52102204603225,32,15.7,15.7,36.62183,-121.90516,7.31519976591361,16.0593023255814,16.68,19.79,18.788,1.9530523255814,13.8452978330981,4.09,26.0509554140127,1.98,13.469387755102,3.088,19.6687898089172
