"","species","temporalBin","length_ln","csvFile"
"1","Aspirata","Pre-1960",3.29736358024691,"Roy2003_fig2_Aspirata.csv"
"2","Aspirata","Pre-1960",3.28546800411523,"Roy2003_fig2_Aspirata.csv"
"3","Aspirata","Pre-1960",3.27485843621399,"Roy2003_fig2_Aspirata.csv"
"4","Aspirata","1961-1980",3.23885020576132,"Roy2003_fig2_Aspirata.csv"
"5","Aspirata","1961-1980",3.2237396090535,"Roy2003_fig2_Aspirata.csv"
"6","Aspirata","1961-1980",3.21120102880658,"Roy2003_fig2_Aspirata.csv"
"7","Aspirata","Field",3.1333975308642,"Roy2003_fig2_Aspirata.csv"
"8","Aspirata","Field",3.11828693415638,"Roy2003_fig2_Aspirata.csv"
"9","Aspirata","Field",3.10317633744856,"Roy2003_fig2_Aspirata.csv"
"10","Aspirata","CNM",3.42757191358025,"Roy2003_fig2_Aspirata.csv"
"11","Aspirata","CNM",3.3555554526749,"Roy2003_fig2_Aspirata.csv"
"12","Aspirata","CNM",3.28321748971193,"Roy2003_fig2_Aspirata.csv"
"13","Fvolcano","Pre-1960",3.26016988110712,"Roy2003_fig2_Fvolcano.csv"
"14","Fvolcano","Pre-1960",3.23314356506614,"Roy2003_fig2_Fvolcano.csv"
"15","Fvolcano","Pre-1960",3.20775608800367,"Roy2003_fig2_Fvolcano.csv"
"16","Fvolcano","1961-1980",3.11432501529169,"Roy2003_fig2_Fvolcano.csv"
"17","Fvolcano","1961-1980",3.09098495202233,"Roy2003_fig2_Fvolcano.csv"
"18","Fvolcano","1961-1980",3.06682501529169,"Roy2003_fig2_Fvolcano.csv"
"19","Fvolcano","Field",3.09623877016592,"Roy2003_fig2_Fvolcano.csv"
"20","Fvolcano","Field",3.07945043103448,"Roy2003_fig2_Fvolcano.csv"
"21","Fvolcano","Field",3.06225215517241,"Roy2003_fig2_Fvolcano.csv"
"22","Fvolcano","CNM",3.18134445007264,"Roy2003_fig2_Fvolcano.csv"
"23","Fvolcano","CNM",3.14203365127303,"Roy2003_fig2_Fvolcano.csv"
"24","Fvolcano","CNM",3.10313324317608,"Roy2003_fig2_Fvolcano.csv"
"25","Lgigantea","Pre-1960",4.152231237,"Roy2003_fig2_Lgigantea.csv"
"26","Lgigantea","Pre-1960",4.11693712,"Roy2003_fig2_Lgigantea.csv"
"27","Lgigantea","Pre-1960",4.084077079,"Roy2003_fig2_Lgigantea.csv"
"28","Lgigantea","1961-1980",NA,"Roy2003_fig2_Lgigantea.csv"
"29","Lgigantea","1961-1980",NA,"Roy2003_fig2_Lgigantea.csv"
"30","Lgigantea","1961-1980",NA,"Roy2003_fig2_Lgigantea.csv"
"31","Lgigantea","Field",4.064604462,"Roy2003_fig2_Lgigantea.csv"
"32","Lgigantea","Field",4.056693712,"Roy2003_fig2_Lgigantea.csv"
"33","Lgigantea","Field",4.047565923,"Roy2003_fig2_Lgigantea.csv"
"34","Lgigantea","CNM",4.323225152,"Roy2003_fig2_Lgigantea.csv"
"35","Lgigantea","CNM",4.303144016,"Roy2003_fig2_Lgigantea.csv"
"36","Lgigantea","CNM",4.286713996,"Roy2003_fig2_Lgigantea.csv"
"37","Taureotinca","Pre-1960",3.32544938505203,"Roy2003_fig2_Taureotinca.csv"
"38","Taureotinca","Pre-1960",3.30819299905393,"Roy2003_fig2_Taureotinca.csv"
"39","Taureotinca","Pre-1960",3.29245033112583,"Roy2003_fig2_Taureotinca.csv"
"40","Taureotinca","1961-1980",3.25914853358562,"Roy2003_fig2_Taureotinca.csv"
"41","Taureotinca","1961-1980",3.23523178807947,"Roy2003_fig2_Taureotinca.csv"
"42","Taureotinca","1961-1980",3.21252601702933,"Roy2003_fig2_Taureotinca.csv"
"43","Taureotinca","Field",3.19829706717124,"Roy2003_fig2_Taureotinca.csv"
"44","Taureotinca","Field",3.17861873226112,"Roy2003_fig2_Taureotinca.csv"
"45","Taureotinca","Field",3.159848628193,"Roy2003_fig2_Taureotinca.csv"
"46","Taureotinca","CNM",3.28942289498581,"Roy2003_fig2_Taureotinca.csv"
"47","Taureotinca","CNM",3.25733207190161,"Roy2003_fig2_Taureotinca.csv"
"48","Taureotinca","CNM",3.22614947965941,"Roy2003_fig2_Taureotinca.csv"
